"","sentence_id","word","element_id","word_count","sentiment"
"1",38,"information",43,1,0.4
"2",42,"general",48,1,0.4
"3",46,"general",54,1,0.4
"4",57,"general",67,1,0.4
"5",61,"chairman",73,1,0.25
"6",96,"loss",119,1,-0.75
"7",99,"comprehensive",122,1,0.75
"8",116,"equity",142,1,1
"9",122,"equity",149,1,1
"10",128,"cash",156,1,0.4
"11",141,"major",173,1,0.4
"12",150,"general",183,1,0.4
"13",155,"information",190,1,0.4
"14",197,"chairman",235,1,0.25
"15",203,"director",241,1,0.25
"16",232,"main",270,1,0.4
"17",234,"custody",272,1,-0.4
"18",237,"limited",275,1,-0.75
"19",268,"limited",316,1,-0.75
"20",275,"limited",324,1,-0.75
"21",295,"limited",347,1,-0.75
"22",323,"shares",383,1,0.1
"23",328,"shares",388,1,0.1
"24",335,"exchange",395,1,0.25
"25",340,"exchange",400,1,0.25
"26",346,"general",407,1,0.4
"27",357,"general",418,1,0.4
"28",392,"received",457,1,0.6
"29",396,"presence",461,1,0.4
"30",401,"approve",467,1,0.5
"31",409,"general",475,1,0.4
"32",419,"adopt",487,1,0.5
"33",435,"chairman",505,1,0.25
"34",454,"share",526,1,0.5
"35",463,"approve",540,1,0.5
"36",482,"elect",562,1,0.6
"37",490,"director",570,1,0.25
"38",508,"eligible",589,1,0.8
"39",530,"director",612,1,0.25
"40",548,"eligible",631,1,0.8
"41",584,"risk",671,1,-0.75
"42",590,"continue",677,1,0.4
"43",665,"special",759,1,0.8
"44",672,"fit",767,1,0.4
"45",674,"amend",769,1,0.8
"46",686,"special",787,1,0.8
"47",733,"hybrid",836,1,0.25
"48",749,"permitting",852,1,0.8
"49",757,"communicate",860,1,0.6
"50",768,"capable",871,1,0.5
"51",774,"participation",877,1,0.6
"52",778,"presence",881,1,0.4
"53",793,"present",896,1,0.25
"54",801,"general",905,1,0.4
"55",804,"special",908,1,0.8
"56",815,"determined",921,1,0.5
"57",828,"excluding",934,1,-0.8
"58",860,"general",970,1,0.4
"59",864,"general",974,1,0.4
"60",875,"technology",985,1,0.1
"61",889,"technology",999,1,0.1
"62",892,"hybrid",1002,1,0.25
"63",911,"communicate",1021,1,0.6
"64",918,"capable",1028,1,0.5
"65",924,"participation",1034,1,0.6
"66",928,"presence",1038,1,0.4
"67",945,"present",1055,1,0.25
"68",956,"general",1067,1,0.4
"69",964,"received",1075,1,0.6
"70",980,"entitled",1093,1,-0.25
"71",989,"entitled",1102,1,-0.25
"72",1033,"advance",1146,1,0.8
"73",1037,"general",1150,1,0.4
"74",1083,"general",1203,1,0.4
"75",1093,"pandemic",1216,1,-1
"76",1104,"general",1227,1,0.4
"77",1111,"wishing",1235,1,0.8
"78",1178,"purchase",1304,1,0.25
"79",1180,"shares",1306,1,0.1
"80",1183,"shares",1309,1,0.1
"81",1193,"assistance",1319,1,0.8
"82",1248,"wishing",1387,1,0.8
"83",1300,"option",1441,1,0.4
"84",1339,"option",1480,1,0.4
"85",1376,"custody",1520,1,-0.4
"86",1389,"wishing",1534,1,0.8
"87",1413,"option",1558,1,0.4
"88",1430,"option",1577,1,0.4
"89",1452,"entitled",1602,1,-0.25
"90",1461,"entitled",1611,1,-0.25
"91",1488,"chairman",1638,1,0.25
"92",1505,"enabled",1655,1,0.6
"93",1511,"included",1661,1,0.6
"94",1519,"available",1669,1,0.8
"95",1530,"regulatory",1680,1,-0.25
"96",1540,"available",1690,1,0.8
"97",1546,"custody",1696,1,-0.4
"98",1569,"attorney",1719,1,-0.25
"99",1571,"authorized",1721,1,0.6
"100",1602,"authorized",1752,1,0.6
"101",1603,"attorney",1753,1,-0.25
"102",1622,"custody",1772,1,-0.4
"103",1639,"received",1789,1,0.6
"104",1678,"rejected",1832,1,-1
"105",1685,"concerned",1839,1,-0.6
"106",1693,"allow",1848,1,0.25
"107",1698,"issues",1853,1,-1
"108",1704,"general",1860,1,0.4
"109",1732,"general",1889,1,0.4
"110",1750,"prompt",1907,1,0.6
"111",1775,"prompt",1933,1,0.6
"112",1781,"ahead",1939,1,0.8
"113",1785,"reminding",1943,1,-0.25
"114",1801,"providing",1959,1,0.8
"115",1841,"chairman",2000,1,0.25
"116",1865,"forward",2027,1,0.6
"117",1869,"results",2032,1,0.25
"118",1884,"preferred",2049,1,0.8
"119",1898,"wish",2064,1,0.8
"120",1915,"payment",2081,1,-0.1
"121",1927,"share",2095,1,0.5
"122",1929,"custody",2097,1,-0.4
"123",1932,"limited",2100,1,-0.75
"124",1934,"present",2103,1,0.25
"125",1953,"assets",2122,1,0.5
"126",1963,"shares",2134,1,0.1
"127",1986,"assets",2158,1,0.5
"128",1987,"authority",2159,1,0.5
"129",1989,"authority",2161,1,0.5
"130",1991,"abandoned",2163,1,-0.5
"131",1992,"assets",2164,1,0.5
"132",1999,"present",2171,1,0.25
"133",2004,"unpaid",2176,1,-0.8
"134",2010,"contact",2182,1,0.4
"135",2012,"share",2184,1,0.5
"136",2014,"custody",2186,1,-0.4
"137",2017,"limited",2189,1,-0.75
"138",2026,"unpaid",2198,1,-0.8
"139",2029,"avert",2201,1,-0.25
"140",2031,"risk",2203,1,-0.75
"141",2039,"authority",2211,1,0.5
"142",2040,"custody",2212,1,-0.4
"143",2043,"limited",2215,1,-0.75
"144",2072,"general",2248,1,0.4
"145",2087,"present",2266,1,0.25
"146",2122,"chairman",2301,1,0.25
"147",2126,"director",2305,1,0.25
"148",2127,"director",2306,1,0.25
"149",2128,"director",2307,1,0.25
"150",2129,"director",2308,1,0.25
"151",2130,"director",2309,1,0.25
"152",2133,"director",2312,1,0.25
"153",2141,"limited",2320,1,-0.75
"154",2144,"limited",2323,1,-0.75
"155",2146,"director",2325,1,0.25
